country,latitude,longitude
Afghanistan,33.93911,67.709953
Aland Islands,60.1785247,19.9156105
Albania,41.153332,20.168331
Algeria,28.033886,1.6596259999999998
American Samoa,-14.270972,-170.132217
Andorra,42.506285,1.521801
Angola,-11.202692,17.873887
Anguilla,18.220554,-63.06861499999999
Antarctica,-82.862752,135.0
Antigua & Barbuda,17.060816,-61.796428000000006
Argentina,-38.416097,-63.61667199999999
Armenia,40.069099,45.038189
Aruba,12.52111,-69.968338
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927000000005
Bahamas,25.03428,-77.39627999999998
Bahrain,26.0667,50.5577
Bangladesh,23.684994,90.356331
Barbados,13.193887,-59.543198
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Belize,17.189877,-88.49765
Benin,9.30769,2.315834
Bermuda,32.3078,-64.7505
Bhutan,27.514162,90.433601
Bolivia,-16.290154,-63.588653
Bosnia,43.915886,17.679076000000002
Bosnia & Herzegovina,43.915886,17.679076000000002
Botswana,-22.328474,24.684866
Bouvet Island,-54.42079150000001,3.3464497000000004
Brazil,-14.235004,-51.92528
British Indian Ocean Territory,-6.343194,71.87651899999999
British Virgin Islands,18.420695,-64.63996800000001
Brunei,4.535277,114.727669
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Burma,21.913965,95.956223
Burundi,-3.373056,29.918886
Cambodia,12.565679,104.990963
Cameroon,7.3697219999999986,12.354722
Canada,56.130366,-106.346771
Cape Verde,16.5388,-23.0418
Caribbean Netherlands,12.178361099999998,-68.23853390000001
Cayman Islands,19.3133,-81.2546
Central African Republic,6.611110999999998,20.939444
Chad,15.454166,18.732207
Chile,-35.675147,-71.542969
China,35.86166,104.195397
Christmas Island,-10.447525,105.690449
Cocos (Keeling) Islands,-12.164165,96.870956
Colombia,4.570868,-74.297333
Comoros,-11.6455,43.3333
Congo - Brazzaville,-0.228021,15.827659
Congo - Kinshasa,-4.038333000000001,21.758664000000003
Cook Islands,-21.236736,-159.777671
Costa Rica,9.748917,-83.753428
Croatia,45.1,15.2000001
Cuba,21.521757,-77.78116700000001
Curaçao,12.16957,-68.99002
Cyprus,35.126413,33.429859
Czech Republic,49.81749199999999,15.472962
Côte d’Ivoire,7.5399889999999985,-5.547079999999999
Denmark,56.26392,9.501785
Djibouti,11.825138,42.590275
Dominica,15.414999,-61.37097600000001
Dominican Republic,18.735693,-70.162651
East Timor,-8.55861,125.57361
Ecuador,-1.831239,-78.18340599999998
Egypt,26.820553000000004,30.802498
El Salvador,13.794185,-88.89653
Equatorial Guinea,1.6508009999999995,10.267895
Eritrea,15.179384,39.782334000000006
Estonia,58.595272,25.0136071
Ethiopia,9.145,40.489673
Falkland Islands,-51.796253,-59.523613
Faroe Islands,61.89263500000001,-6.9118061
Federated States of Micronesia,7.4255538,150.5508118
Fiji,-17.713371,178.065032
Finland,61.92410999999999,25.7481511
France,46.227638,2.213749
French Guiana,3.933889,-53.125782
French Polynesia,-17.679742,-149.40684299999998
French Southern & Antarctic Lands,-49.25,69.167
French Southern Territories,-49.280366,69.3485571
Gabon,-0.803689,11.609444
Gambia,13.443182,-15.310139
Gaza,31.5,34.46667
Gaza Strip,31.354676,34.308825
Georgia,32.1656221,-82.9000751
Germany,51.165691,10.451526
Ghana,7.946527000000001,-1.0231940000000002
