Country,Cost of Living Index
Bermuda,147.77
Switzerland,125.69
Norway,96.8
Iceland,90.19
Japan,86.22
Denmark,85.02
Luxembourg,84.38
Bahamas,84.25
Israel,82.52
Singapore,81.13
Barbados,79.92
Ireland,78.07
Hong Kong,77.9
France,76.34
South Korea,75.93
Australia,75.89
Netherlands,74.63
Seychelles,74.41
Belgium,73.59
Finland,72.71
United States,72.47
Sweden,72.31
New Zealand,71.83
Austria,71.78
Macao,70.18
Puerto Rico,70.02
Malta,69.26
Italy,68.95
Qatar,67.54
Germany,66.34
Canada,66.18
Libya,66.06
United Kingdom,65.67
Lebanon,64.26
United Arab Emirates,62.98
Taiwan,61.95
Cyprus,59.93
Bahrain,58.36
Greece,57.5
Trinidad And Tobago,56.66
Croatia,56.31
Spain,55.27
Slovenia,55.17
Panama,55.02
Palestine,54.96
Ethiopia,54.86
Jamaica,54.36
Costa Rica,54.2
Zimbabwe,54.06
Jordan,53.4
Belize,53.08
Estonia,52.93
Mauritius,51.75
Kuwait,49.86
Fiji,49.65
Portugal,49.52
Oman,49.42
Latvia,49.18
Saudi Arabia,49.15
Thailand,48.97
Suriname,47.95
Cambodia,47.91
Brunei,47.49
Slovakia,46.8
Uruguay,46.66
Chile,45.43
Czech Republic,45.05
El Salvador,44.96
Lithuania,44.85
Guatemala,44.23
Cuba,43.85
Nicaragua,43.7
Honduras,42.73
Dominican Republic,41.76
Ecuador,40.62
Hungary,40.09
Mozambique,39.98
China,39.51
Poland,39.46
Philippines,39.25
Botswana,39.13
Cameroon,38.95
Montenegro,38.68
Ghana,38.52
Iraq,38.49
Somalia,38.48
Iran,38.47
Myanmar,38.47
Bulgaria,38.39
Vietnam,38.12
Namibia,38.12
Malaysia,38.09
Kenya,37.75
Peru,37.64
South Africa,37.52
Serbia,36.98
Albania,36.96
Indonesia,36.86
Tanzania,36.85
Bosnia And Herzegovina,36.57
Romania,36.23
Rwanda,36.21
Bolivia,36.02
Morocco,34.44
Mongolia,33.97
Armenia,33.71
Russia,33.66
Moldova,33.52
Bangladesh,33.41
North Macedonia,32.96
Sri Lanka,32.93
Belarus,32.63
Turkey,32.44
Argentina,31.18
Azerbaijan,31.14
Kazakhstan,31.01
Brazil,30.99
Uganda,30.96
Mexico,30.93
Paraguay,30.34
Ukraine,30.05
Nigeria,29.76
Georgia,29.71
Egypt,29.55
Colombia,29.02
Algeria,28.88
Kosovo (Disputed Territory),28.42
Nepal,28.17
Tunisia,27.93
Uzbekistan,27.37
Syria,27.04
Afghanistan,26.71
Kyrgyzstan,24.7
India,24.12
Pakistan,21.0
